date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,team
2024-02-24, Mickey Moniak, Nolan Schanuel, Mike Trout, Michael Stefanic, Taylor Ward, Brandon Drury, Logan O'Hoppe, Jo Adell, Zach Neto,LAA
2024-02-25a, Aaron Hicks, Nolan Schanuel, Mike Trout, Anthony Rendon, Taylor Ward, Brandon Drury, Matt Thaiss, Willie Calhoun, Zach Neto,LAA
2024-02-25b, Nelson Rada, Charles Leblanc, Mickey Moniak, Hunter Dozier, Jo Adell, Cole Fontenelle, Miguel Sano, Chad Wallach, Livan Soto,LAA
2024-02-26, Ehire Adrianza, Aaron Hicks, Jo Adell, Anthony Rendon, Jason Martin, Hunter Dozier, Logan O'Hoppe, Jordyn Adams, Richie Martin,LAA
2024-02-27, Taylor Ward, Nolan Schanuel, Mike Trout, Brandon Drury, Mickey Moniak, Miguel Sano, Chad Wallach, Livan Soto, Zach Neto,LAA
2024-02-28, Taylor Ward, Nolan Schanuel, Mike Trout, Anthony Rendon, Brandon Drury, Aaron Hicks, Matt Thaiss, Jason Martin, Zach Neto,LAA
2024-02-29, Aaron Hicks, Nolan Schanuel, Mike Trout, Anthony Rendon, Brandon Drury, Taylor Ward, Logan O'Hoppe, Miguel Sano, Zach Neto,LAA
2024-03-01, Ehire Adrianza, Mickey Moniak, Jo Adell, Hunter Dozier, Logan O'Hoppe, Miguel Sano, Willie Calhoun, Jordyn Adams, Kyren Paris,LAA
2024-03-02, Aaron Hicks, Nolan Schanuel, Mike Trout, Anthony Rendon, Taylor Ward, Brandon Drury, Matt Thaiss, Jo Adell, Zach Neto,LAA
2024-03-03, Aaron Hicks, Nolan Schanuel, Mike Trout, Anthony Rendon, Taylor Ward, Brandon Drury, Logan O'Hoppe, Jake Marisnick, Zach Neto,LAA
2024-03-04, Ehire Adrianza, Nolan Schanuel, Miguel Sano, Logan O'Hoppe, Jo Adell, Mickey Moniak, Hunter Dozier, Jordyn Adams, Zach Neto,LAA
2024-03-05, Aaron Hicks, Nolan Schanuel, Mike Trout, Taylor Ward, Brandon Drury, Logan O'Hoppe, Miguel Sano, Matt Thaiss, Zach Neto,LAA
2024-03-06a, Nolan Schanuel, Matt Thaiss, Mike Trout, Taylor Ward, Brandon Drury, Logan O'Hoppe, Cole Fontenelle, Jordyn Adams, Zach Neto,LAA
2024-03-06b, Ehire Adrianza, Mickey Moniak, Luis Rengifo, Miguel Sano, Aaron Hicks, Jo Adell, Jake Marisnick, Chad Wallach, Kyren Paris,LAA
2024-03-07, Mickey Moniak, Luis Rengifo, Matt Thaiss, Miguel Sano, Willie Calhoun, Jo Adell, Jason Martin, Kyren Paris, Livan Soto,LAA
2024-03-08, Aaron Hicks, Ehire Adrianza, Mike Trout, Taylor Ward, Brandon Drury, Logan O'Hoppe, Miguel Sano, Cole Fontenelle, Livan Soto,LAA
2024-03-09, Zach Neto, Nolan Schanuel, Mike Trout, Taylor Ward, Luis Rengifo, Matt Thaiss, Jake Marisnick, Willie Calhoun, Ehire Adrianza,LAA
2024-03-10, Luis Rengifo, Nolan Schanuel, Mike Trout, Anthony Rendon, Aaron Hicks, Taylor Ward, Brandon Drury, Logan O'Hoppe, Zach Neto,LAA
2024-03-11, Mickey Moniak, Nolan Schanuel, Anthony Rendon, Brandon Drury, Luis Rengifo, Logan O'Hoppe, Jo Adell, Willie Calhoun, Zach Neto,LAA
2024-03-13, Luis Rengifo, Nolan Schanuel, Jake Marisnick, Taylor Ward, Logan O'Hoppe, Miguel Sano, Jo Adell, Cole Fontenelle, Livan Soto,LAA
2024-03-14, Aaron Hicks, Nolan Schanuel, Luis Rengifo, Logan O'Hoppe, Miguel Sano, Mickey Moniak, Jake Marisnick, Willie Calhoun, Ehire Adrianza,LAA
2024-03-16, Aaron Hicks, Luis Rengifo, Mike Trout, Anthony Rendon, Taylor Ward, Brandon Drury, Willie Calhoun, Logan O'Hoppe, Zach Neto,LAA
2024-03-17, Luis Rengifo, Nolan Schanuel, Mike Trout, Anthony Rendon, Taylor Ward, Brandon Drury, Mickey Moniak, Logan O'Hoppe, Zach Neto,LAA
2024-03-18, Aaron Hicks, Luis Rengifo, Miguel Sano, Taylor Ward, Mickey Moniak, Jo Adell, Zach Neto, Matt Thaiss, Livan Soto,LAA
2024-03-19, Aaron Hicks, Luis Rengifo, Mike Trout, Anthony Rendon, Brandon Drury, Jo Adell, Miguel Sano, Logan O'Hoppe, Zach Neto,LAA
2024-03-20a, Anthony Rendon, Aaron Hicks, Mike Trout, Taylor Ward, Brandon Drury, Matt Thaiss, Ehire Adrianza, Chad Wallach, Livan Soto,LAA
2024-03-20b, Mickey Moniak, Jake Marisnick, Miguel Sano, Logan O'Hoppe, Jo Adell, Willie Calhoun, Cole Fontenelle, Jack Lopez, Zach Neto,LAA
2024-03-22, Anthony Rendon, Aaron Hicks, Mike Trout, Taylor Ward, Brandon Drury, Mickey Moniak, Ehire Adrianza, Matt Thaiss, Zach Neto,LAA
2024-03-23, Mickey Moniak, Sam Brown, Nolan Schanuel, Matt Thaiss, Jo Adell, Jack Lopez, Bryce Teodosio, Charles Leblanc, Livan Soto,LAA
2024-03-24, Anthony Rendon, Aaron Hicks, Mike Trout, Taylor Ward, Brandon Drury, Mickey Moniak, Logan O'Hoppe, Luis Rengifo, Zach Neto,LAA
2024-03-25, Anthony Rendon, Aaron Hicks, Mike Trout, Taylor Ward, Brandon Drury, Nolan Schanuel, Miguel Sano, Logan O'Hoppe, Zach Neto,LAA
2024-03-26, Anthony Rendon, Aaron Hicks, Mike Trout, Taylor Ward, Brandon Drury, Nolan Schanuel, Miguel Sano, Logan O'Hoppe, Zach Neto,LAA
2024-02-24, Chas McCormick, Mauricio Dubon, Victor Caratini, Jon Singleton, Jake Meyers, Corey Julks, David Hensley, Quincy Hamilton, Grae Kessinger,HOU
2024-02-25a, Jose Altuve, Alex Bregman, Kyle Tucker, Jose Abreu, Yainer Diaz, Jeremy Pena, Trey Cabbage, Jacob Melton, Joey Loperfido,HOU
2024-02-25b, Kenedy Corona, Victor Caratini, Will Wagner, Corey Julks, Pedro Leon, Chris Gittens, Shay Whitcomb, Dixon Machado, C.J. Stubbs,HOU
2024-02-26, Chas McCormick, Trey Cabbage, Jake Meyers, Jon Singleton, David Hensley, Grae Kessinger, Dixon Machado, Jacob Melton, Cesar Salazar,HOU
2024-02-27, Jose Altuve, Yordan Alvarez, Alex Bregman, Kyle Tucker, Jose Abreu, Yainer Diaz, Jeremy Pena, Corey Julks, Mauricio Dubon,HOU
2024-02-28, Chas McCormick, Yainer Diaz, Jake Meyers, Jon Singleton, Victor Caratini, David Hensley, Joey Loperfido, Grae Kessinger, Dixon Machado,HOU
